[01Mar2026 13:39:58.532] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, j_shelfwood, --version, 1.21.1, --gameDir, C:/Users/Shelfwood/AppData/Roaming/PrismLauncher/instances/Craftoria/minecraft, --assetsDir, C:/Users/Shelfwood/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, fc61f12b3c274924b58c1d78f62e51f5, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.215, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[01Mar2026 13:39:58.535] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Oracle Corporation Java HotSpot(TM) 64-Bit Server VM 21.0.10+8-LTS-jvmci-23.1-b84
[01Mar2026 13:39:58.538] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.10 by Oracle Corporation; OS Windows 11 arch amd64 version 10.0
[01Mar2026 13:39:58.624] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: ****************************** Found dependency overrides ******************************
[01Mar2026 13:39:58.625] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: Dependency overrides for mod 'ars_unification': softening dependency constraints against 'jei'
[01Mar2026 13:39:58.626] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: ****************************************************************************************
[01Mar2026 13:39:59.510] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[01Mar2026 13:39:59.583] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[01Mar2026 13:39:59.725] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[01Mar2026 13:39:59.816] [main/INFO] [CrashAssistantJarInJarHelper/]: Launching CrashAssistantApp (CrashAssistant-neoforge-1.20.6-1.21.4-1.10.26.jar)
[01Mar2026 13:39:59.831] [main/WARN] [CrashAssistantJarInJarHelper/]: Closed old CrashAssistantApp process to prevent confusing the player with window containing information from old crash.
[01Mar2026 13:40:00.028] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3080 Laptop GPU/PCIe/SSE2 GL version 4.6.0 NVIDIA 591.86, NVIDIA Corporation
[01Mar2026 13:40:00.349] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/Shelfwood/AppData/Roaming/PrismLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23175!/ Service=ModLauncher Env=CLIENT
[01Mar2026 13:40:00.362] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: ****************************** Found dependency overrides ******************************
[01Mar2026 13:40:00.363] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: Dependency overrides for mod 'ars_unification': softening dependency constraints against 'jei'
[01Mar2026 13:40:00.363] [main/WARN] [net.neoforged.fml.loading.FMLConfig/]: ****************************************************************************************
[01Mar2026 13:40:00.586] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.215:client]
[01Mar2026 13:40:00.608] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.215-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\libraries\net\neoforged\neoforge\21.1.215\neoforge-21.1.215-universal.jar]], reader: mod manifest]
[01Mar2026 13:40:00.609] [main/INFO] [Monocle/IrisModParser/]: Located Monocle mod jar at /META-INF/jarjar/monocle-mod-file.jar
[01Mar2026 13:40:00.621] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "monocle-mod-file.jar" [locator: dev.ferriarnus.monocle.bootstrap.MonocleModLocator@7aead3af, reader: mod manifest]
[01Mar2026 13:40:00.630] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "accelerated-decay-neoforge-21.0.0.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
[01Mar2026 13:40:00.636] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aces_spell_utils-1.1.19-1.21.1.jar" [locator: {mods folder locator at C:\Users\Shelfwood\AppData\Roaming\PrismLauncher\instances\Craftoria\minecraft\mods}, reader: mod manifest]
