me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=15 avg_copy_batch=3 max_copy_batch=15 copy_dispatch_batches=15 avg_copy_dispatched_per_tick=3 max_copy_dispatched_per_tick=15 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=0 result_copy_entries=6 result_scatter_entries=18 request_inflight_deferred=0 request_rerun_executed=0 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 34 misses in last 5s (35 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=57264 remaining_bytes=67051600 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.NodeManager	Inflight request summary: deferred=1 suppressed=0 pending_reruns=1
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 2097152
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 90 misses in last 5s (125 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 4194304
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$SyncResults	Expanding scatter update buffer to 24720
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=184 avg_copy_batch=17 max_copy_batch=239 copy_dispatch_batches=184 avg_copy_dispatched_per_tick=17 max_copy_dispatched_per_tick=239 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=5 result_copy_entries=1 result_scatter_entries=3 request_inflight_deferred=5 request_rerun_executed=1 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=18 allocations=6187 hits=4119 misses=2068 offers=4137 rejects=0 hit_pct=66.57
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 8388608
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 132 misses in last 5s (257 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 16777216
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=29104 remaining_bytes=67079760 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 2097152
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 4194304
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 8388608
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=460 avg_copy_batch=37 max_copy_batch=321 copy_dispatch_batches=462 avg_copy_dispatched_per_tick=37 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 118 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=482 avg_copy_batch=36 max_copy_batch=321 copy_dispatch_batches=484 avg_copy_dispatched_per_tick=36 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=504 avg_copy_batch=34 max_copy_batch=321 copy_dispatch_batches=506 avg_copy_dispatched_per_tick=34 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=9840 remaining_bytes=67099024 threshold_bytes=8388608 queued_frames=2 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=526 avg_copy_batch=33 max_copy_batch=321 copy_dispatch_batches=528 avg_copy_dispatched_per_tick=33 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=2 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=549 avg_copy_batch=32 max_copy_batch=321 copy_dispatch_batches=551 avg_copy_dispatched_per_tick=32 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6560 remaining_bytes=67102304 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=572 avg_copy_batch=31 max_copy_batch=321 copy_dispatch_batches=574 avg_copy_dispatched_per_tick=31 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3280 remaining_bytes=67105584 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=595 avg_copy_batch=30 max_copy_batch=321 copy_dispatch_batches=597 avg_copy_dispatched_per_tick=30 max_copy_dispatched_per_tick=256 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=40 result_copy_entries=5 result_scatter_entries=10 request_inflight_deferred=5 request_rerun_executed=5 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (374 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6688 remaining_bytes=67102176 threshold_bytes=8388608 queued_frames=2 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=20 allocations=34418 hits=32348 misses=2070 offers=32369 rejects=0 hit_pct=93.98
me.cx.vy.ct.ce.rg.hl.NodeManager	Inflight request summary: deferred=5 suppressed=0 pending_reruns=1
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 16777216
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$SyncResults	Expanding scatter update buffer to 24800
